Abkürzung,Zeilen_gesamt,Einträge,Beispiel_1,Beispiel_2,Auflösung
Transportarb.,19,1,Transportarb.,,Transportarbeiter
Maßprüf.,19,1,Maßprüf.,,Maßprüfer
Vermessgs.,19,12,Vermessgs. Techn.,Vermessgs. Inspekt.,Vermessungs
Dachdeck.,18,1,Dachdeck.,,Dachdecker
Rangier.,18,2,Rangier.,Rbhn. Rangier.,Rangierer
Bahnmstr.,18,7,Bahnmstr.,Ob. Bahnmstr.,Bahnmeister
Lagerhalt.,18,1,Lagerhalt.,,Lagerhalter
Baumstr.,18,5,Reg. Baumstr.,Baumstr.,Baumeister
Handlgs.,18,5,Handlgs. Geh.,Handlgs. Bevollmächt.,Handlungs
Kraftfahr.,18,1,Kraftfahr.,,Kraftfahrer
Fahrsteig.,18,3,Fahrsteig.,Fahrsteig. a. D.,Fahrsteiger
Anzeichn.,18,1,Anzeichn.,,Anzeichner
Trinkhallenbes.,18,1,Trinkhallenbes.,,Trinkhallen-Besitzer
Bergbaubeamt.,18,2,Bergbaubeamt.,kfm. Bergbaubeamt.,Bergbaubeamter
Stadtoberinspekt.,18,5,Stadtoberinspekt.,techn. Stadtoberinspekt.,Stadtoberinspektor
Bücherrevis.,18,1,Bücherrevis.,,Bücherrevisor
Händl.,18,1,Händl.,,Händler
Geschäftsinhabrin.,18,1,Geschäftsinhabrin.,,Geschäftsinhaberin
Obering.,18,4,Obering.,Obering. B. d. i.,Oberingenieur
Maschinenwärt.,17,1,Maschinenwärt.,,Maschinenwärter
Bahnhofsvorsteh.,17,6,Bahnhofsvorsteh.,Ob. Bahnhofsvorsteh.,Bahnhofsvorsteher
Kesselheiz.,17,1,Kesselheiz.,,Kesselheizer
Magaz.,17,4,Magaz. Verwalt.,Magaz. Verw.,Magazin
Fahrradhdlg.,17,1,Fahrradhdlg.,,Fahrradhandlung
Rohproduktenhdl.,17,1,Rohproduktenhdl.,,Rohproduktenhändler
Oberbauarb.,17,1,Oberbauarb.,,Oberbauarbeiter
