Beruf,Berufsgruppe,Konfidenz
Badewärt.,sonstige,auto
Badewärter,sonstige,auto
Baedekerhaus,sonstige,auto
Baggerführ.,sonstige,auto
Baggermstr.,sonstige,auto
Bahnamtl. Spediteur,verkehr,auto
Bahnangest.,sonstige,auto
Bahnangestellt.,sonstige,auto
Bahnarbeit.,sonstige,auto
Bahnarbeiter,verkehr,auto
Bahnassist a. D.,sonstige,auto
Bahnassist.,sonstige,auto
Bahnbeamter,verkehr,auto
Bahnbeamter a. D.,verkehr,auto
Bahnbetr. Arbeiter,industrie,auto
Bahnbetr. Assistent,sonstige,auto
Bahnh. Schaffner,verkehr,auto
Bahnhofs-Assist.,sonstige,auto
Bahnhofs-Assist. a. D.,sonstige,auto
Bahnhofs-Inspekt.,sonstige,auto
Bahnhofs-Vorst.,sonstige,auto
Bahnhofsassist.,sonstige,auto
Bahnhofsaufseh.,sonstige,auto
Bahnhofschaffn.,sonstige,auto
Bahnhofshotel,sonstige,auto
Bahnhofsinspekt.,sonstige,auto
Bahnhofsmstr.,sonstige,auto
Bahnhofsschaffn.,sonstige,auto
Bahnhofsverwalt.,sonstige,auto
Bahnhofsverwalt. a. D.,sonstige,auto
Bahnhofsvorst.,sonstige,auto
Bahnhofsvorsteher,verkehr,auto
Bahnhofsvorsteher a. D.,verkehr,auto
Bahnhofsw.,sonstige,auto
Bahnhofswirt,sonstige,auto
Bahnhofswirtin,sonstige,auto
Bahnhofswirtsch.,sonstige,auto
Bahnhofswirtschaft,sonstige,auto
Bahnhofw.,sonstige,auto
Bahnmeister,industrie,auto
Bahnmeister a. D.,industrie,auto
Bahnmstrgeh.,sonstige,auto
Bahnpol.,sonstige,auto
Bahnpol. Beamter,verwaltung,auto
Bahnrb.,sonstige,auto
Bahnreiniger,sonstige,auto
Bahnschaffn.,sonstige,auto
Bahnschaffn. a. D.,sonstige,auto
Bahnschloss.,sonstige,auto
Bahnschlosser,sonstige,auto
Bahnsekr. i. R.,sonstige,auto
Bahnspedition,sonstige,auto
Bahnsteigschaffn.,sonstige,auto
Bahnsteigschaffn. a. D.,sonstige,auto
Bahnunterhaltungsarb.,sonstige,auto
Bahnwärter,verkehr,auto
Bahnwärter a. D.,verkehr,auto
Ballettmeisterin,sonstige,auto
Bandagenkontroll.,sonstige,auto
Bandagenversandgesch.,sonstige,auto
Bandagist,sonstige,auto
Bankangestellt.,sonstige,auto
Bankangestellter,verwaltung,auto
Bankangestellter a. D.,verwaltung,auto
Bankarbeiter,industrie,auto
Bankarchivar,sonstige,auto
Bankb.,sonstige,auto
Bankbeamter,verwaltung,auto
Bankbeamter a. D.,verwaltung,auto
Bankbeamtin,verwaltung,auto
Bankbevollm.,sonstige,auto
Bankbevollmächt.,sonstige,auto
Bankbevollmächtigt.,sonstige,auto
Bankbevollmächtigter,sonstige,auto
Bankbote,sonstige,auto
Bankbuchhalt.,sonstige,auto
Bankdir.,sonstige,auto
Bankdir. a. D.,sonstige,auto
Bankdirekt a. D.,sonstige,auto
Bankdirektor,verwaltung,auto
Bankdirektor a. D.,verwaltung,auto
Bankdirektor i. R.,verwaltung,auto
"Bankdirektor, Rechtanwalt und Notar",akademisch,auto
Bankdirkt.,sonstige,auto
Bankgeh.,sonstige,auto
Bankgesch.,sonstige,auto
Bankhelf.,sonstige,auto
Bankhelfer,sonstige,auto
Bankier,sonstige,auto
Bankkassierer,verwaltung,auto
Bankleit.,sonstige,auto
Bankleiter,sonstige,auto
Bankprok.,sonstige,auto
Bankprok. a. D.,sonstige,auto
Bankprokurist,verwaltung,auto
Bankprokurist a. D.,verwaltung,auto
Bankrevisor,sonstige,auto
Bankvorstand a. D.,sonstige,auto
Bankvorsteh.,sonstige,auto
Bankvorsteher,sonstige,auto
Barmstr.,sonstige,auto
Bau- u. Kunstschlosserei,sonstige,auto
Bau- u. Möbelschreinerei,industrie,auto
Bau-Ing.,sonstige,auto
Bau-Ingen.,sonstige,auto
Bau-Ob. Ingenieur,akademisch,auto
Bauarbeit.,sonstige,auto
Bauarbeiter,industrie,auto
Bauaufseh.,sonstige,auto
Bauaufseher,industrie,auto
Bauausführ.,sonstige,auto
Bauausführungen,sonstige,auto
Baubeamt.,sonstige,auto
Baubedarf,sonstige,auto
Baubeschläge,sonstige,auto
Baubetriebsassist.,sonstige,auto
Baudirekt. a. D.,sonstige,auto
Baudirekt. i. R.,sonstige,auto
Baudirektor,bildung,auto
Bauer,sonstige,auto
Bauerb.,sonstige,auto
Baufacharb.,sonstige,auto
Baufaufseh.,sonstige,auto
Bauführ,sonstige,auto
Bauführer,industrie,auto
Bauführer a. D.,industrie,auto
"Bauführer, Ingenieur",akademisch,auto
Baugeh.,sonstige,auto
Baugeschäft,handel,auto
Baugewerkmeister,industrie,auto
Baugewerkmstr.,sonstige,auto
Baugewerksmstr.,sonstige,auto
Baugewerksmstr.dachbedeckungsgeschäft,sonstige,auto
Bauhandw.,sonstige,auto
Bauhandwerker,sonstige,auto
Bauhilfsarbeiter,industrie,auto
Bauingenieur,akademisch,auto
Bauingenieur a. D.,akademisch,auto
"Bauingenieur, B.A.J.",akademisch,auto
Bauinspektor,verwaltung,auto
Bauklempn.,sonstige,auto
Bauklempner.,sonstige,auto
Bauklempnerei,sonstige,auto
Bauklempnerei und Installation,sonstige,auto
Bauleit.,sonstige,auto
Bauleiter,sonstige,auto
Baumaterial,sonstige,auto
Baumaterialien,sonstige,auto
"Baumaterialien, Marmorwaren-Fabrik, Plattierungen jeder Art",sonstige,auto
Baumaterialiengroßhdlg.,sonstige,auto
Baumaterialienhdl.,sonstige,auto
Baumaterialienhdlg.,sonstige,auto
Baumeist.,sonstige,auto
Baumeister,industrie,auto
Baumeister a. D.,industrie,auto
